Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
f0a3f48a-3fa7-4507-b4d9-a5ecacde8452,0.011163671210147,100,48,0,1,7,0,44,0,0,0.49,0.92
f3daaf0b-af8a-467c-b1a0-42527a3f650f,0.0330456659072758,100,40,0,1,4,1,51,1,2,0.43,0.92
ace300b0-0d73-47c7-99c6-6e3aeb107413,0.0370444598258803,100,54,1,0,1,0,41,1,2,0.55,0.96
aa23ff20-a881-44c3-a49a-645b1bad02e1,0.0412648233554322,100,38,1,0,5,0,51,0,5,0.38,0.9
bbcc15bc-cfc6-4450-9ebd-7c7dcb7037da,0.0417734358994759,100,49,0,2,2,0,45,0,2,0.51,0.94
2c3bfc81-7576-479b-b4cf-40d4034d03de,0.0454053593995776,100,46,1,1,0,2,47,1,2,0.5,0.96
2e221d01-5804-43e4-aa09-2d5da038e37b,0.0455932284690482,100,44,1,0,1,0,52,1,1,0.45,0.97
a36c36b9-3e07-4934-a8eb-0e0a266857bf,0.0457553609154292,100,43,0,1,8,1,46,0,1,0.45,0.9
b73f6686-d404-4b87-a178-087a69003c7a,0.046891369557326,100,48,2,3,2,0,39,3,3,0.54,0.89
c2705d2e-e950-42f0-ad80-e840a85c0658,0.0674122217820379,100,54,2,3,2,0,35,0,4,0.57,0.91
0d5371ba-5c61-4e42-8f6f-be265cb60cf5,0.0681052110172327,100,45,1,1,6,0,45,0,2,0.46,0.91
afc641e5-fac5-4447-8af3-a80ebfc19c37,0.0690690285134666,100,47,0,6,2,1,42,0,2,0.54,0.9
559d21c4-b71f-44b8-82aa-9d16342e6f5e,0.0786324029255367,100,50,0,1,6,0,39,1,3,0.52,0.89
f3a47311-dcd0-4c21-b9b3-10a6ca0427a9,0.0809660439164628,100,40,0,7,5,1,43,1,3,0.49,0.84
842b46bf-bfbd-40d9-bd20-20d51f236f1a,0.0830314980562108,100,53,1,6,3,0,35,1,1,0.6,0.89
95941e1b-337a-4ab7-9950-9452db7b00b1,0.0892211271518222,100,47,0,2,4,3,36,1,7,0.53,0.86
5a442272-d2cc-491a-9e18-90e5a63aeb19,0.1087469625363367,100,61,0,3,2,2,30,0,2,0.66,0.93
4b1de6ad-49f9-484c-9e88-6c9a2c62496a,0.1182725673429822,100,53,2,2,8,0,33,1,1,0.56,0.88
20da78f2-84d3-4146-ac95-bd65e3219c45,0.1305296453166571,100,62,2,0,1,0,30,1,4,0.63,0.94
367dc3cd-b5dc-4a49-935e-2a1b0053996a,0.1387786923111954,100,62,1,1,7,2,27,0,0,0.65,0.92
e4cb4c60-5b02-4db2-80f8-45858979c691,0.1597132421851145,100,55,1,3,4,1,30,4,2,0.63,0.87
cbf77970-6b78-419d-b291-31e544873231,0.1625417331931414,100,54,0,1,3,0,39,1,2,0.56,0.93
c0983dba-babe-4493-8847-e6f0d79eb374,0.1640608393485146,100,55,1,0,1,2,33,2,6,0.59,0.91
a2c0b0cb-b27a-4b81-bfc6-5ff2839ccd31,0.1696268480388862,100,51,0,3,6,3,30,4,3,0.61,0.84
33834159-1705-40a3-8af2-1e850e8d251a,0.1697875573072022,100,51,0,3,8,1,34,1,2,0.56,0.86
82c5da44-1788-421e-85ae-97d986ea29d3,0.1730441209023974,100,59,0,2,3,1,29,2,4,0.64,0.89
9da33789-1480-4fd8-b6ed-64cef736eea4,0.1892584774458938,100,63,2,2,3,1,27,0,2,0.66,0.93
b00bbc09-c471-457b-9da0-3e2b273dae60,0.1961801898033796,100,67,1,1,5,1,24,0,1,0.69,0.93
d4121b19-a0bb-43fa-ae5a-340189f4b39a,0.1979490225725794,100,61,0,3,5,0,28,1,2,0.65,0.89
f75fbaeb-7ecb-4506-a965-00636b08ff99,0.2006200447091655,100,53,4,1,9,1,28,2,2,0.57,0.86
c50f7a65-6dee-4441-b708-caec4bde167b,0.214228243910797,100,53,2,3,5,2,33,1,1,0.59,0.9
86d6077e-2e0a-402b-8d21-7dd1263004e0,0.2200294076115103,100,49,1,1,6,2,33,2,6,0.54,0.85
58fcff8c-d6ab-405a-a2d1-963d7bed986b,0.2261557851173691,100,57,3,1,4,0,30,1,4,0.59,0.9
8e394c46-51e5-4174-89ca-042f35b56bf1,0.2346260466775151,100,63,1,3,7,0,24,2,0,0.68,0.88
e8c3fd4c-9b4b-4f4d-85ad-70df40ab5b99,0.2365718842262216,100,57,0,2,4,1,27,4,5,0.64,0.85
50532c02-f37b-40b7-8e19-dfa7c570dac2,0.2441906279596844,100,62,1,3,4,0,26,4,0,0.69,0.89
6593d22c-4007-4cef-85a2-cbb8b4cfcf98,0.2488355069645734,100,59,0,0,6,0,25,6,4,0.65,0.84
a907cc27-b47f-4df5-a6f8-0954ab0a7d24,0.2557021144936754,100,58,2,3,7,1,22,4,3,0.66,0.83
b721d6f2-7568-4c81-9dc1-9141afef0924,0.2582832936250914,100,66,2,2,2,0,25,3,0,0.71,0.93
364d86fe-af30-415a-a4e7-6b905e60352f,0.2649313831680486,100,63,0,1,5,1,24,4,2,0.69,0.88
ebc6ee06-c9e9-43f1-9f71-456378a33c77,0.2692609458571662,100,57,2,0,5,0,18,7,11,0.64,0.77
5bd8d7fa-fb65-4874-9246-53bf1cc7df97,0.2818206767364293,100,61,0,0,2,2,27,5,3,0.68,0.9
0963a007-2472-403c-b88b-2187bb3eb515,0.2822518157219071,100,62,1,1,5,0,15,8,8,0.71,0.78
97f741e5-0e32-44bd-b6f3-5e332e72d04e,0.2982322304964485,100,64,0,2,2,2,24,4,2,0.72,0.9
cafc5910-6a7b-44c4-b31d-1e440f3d6e04,0.2990014531782587,100,62,0,1,8,2,24,2,1,0.67,0.88
dc578a7a-cde7-4b37-9ba1-5778e88afbfe,0.2999013838875303,100,51,3,0,10,2,25,5,4,0.58,0.81
6f27a7e2-b3a2-47ee-a793-60dfcd254195,0.3143789373854893,100,59,0,2,2,2,22,7,6,0.7,0.83
4854edc1-22bc-47b6-b7fb-c818b160dfed,0.3367703005756725,100,58,2,3,9,1,17,5,5,0.67,0.78
ede33bfc-2230-454b-a10f-c0224d1fa8c2,0.3473736259924099,100,69,1,0,5,3,14,5,3,0.77,0.87
5c5c8079-e3e2-471f-b657-5e10ca03bfd1,0.3534595927675522,100,70,1,0,9,1,10,4,5,0.75,0.82
c807d205-f316-4d3b-9f6e-481f8970bb4c,0.3551561009967313,100,63,1,1,3,1,14,14,3,0.79,0.79
4ef54334-a8f1-4c2f-bdff-579ec02047ae,0.386843300616968,100,68,2,0,7,1,13,6,3,0.75,0.84
2d4423a9-2ad3-408c-949b-47f0470a05c5,0.3903987119091978,100,62,2,2,6,1,13,8,6,0.73,0.78
d59b958e-ea52-4a57-bc32-52d8fd9067e5,0.3976005281981923,100,59,1,1,3,0,17,11,8,0.71,0.77
812e0e7d-0542-49ca-b5d7-608d6db05114,0.4063266683634712,100,59,2,3,5,1,16,7,7,0.7,0.78
10b6b4c2-7d8f-43b3-9eb3-1f22fd02639f,0.4138267439916074,100,57,2,1,8,3,16,9,4,0.7,0.78
110defed-4d53-40af-aeb2-7065d3938d40,0.416170594181857,100,55,2,4,8,0,13,16,2,0.75,0.7
b906e175-9411-461b-a9b0-009526deaee5,0.4340880750514654,100,65,2,4,6,0,13,8,2,0.77,0.8
1c3a5b99-5d4b-430a-8c4f-21142f0f5957,0.4458940648407381,100,55,1,4,6,3,14,14,3,0.76,0.73
3f869713-2527-427a-a7a3-2362aa501aa7,0.4494195383881371,100,60,1,2,5,2,14,12,4,0.76,0.77
39fc2956-ea56-4343-b74c-17d7870923a5,0.451193055390363,100,66,0,1,8,0,4,18,3,0.85,0.7
99ac6f86-8882-43b2-8d17-5506e3bc1bc7,0.4527782990521189,100,51,3,1,7,5,10,14,9,0.71,0.69
429fcb86-a742-4f4a-8b5c-7086291feb43,0.4562673689749469,100,49,3,0,5,1,20,16,6,0.66,0.73
7631c6dd-fa94-4bf9-a071-c5406a0132c7,0.4566399398415997,100,50,3,5,8,0,9,19,6,0.74,0.62
dae087f6-7d4f-4512-88cb-9baee379e057,0.4676979085874144,100,56,1,0,7,2,17,12,5,0.7,0.76
540e9a42-c41b-4aeb-9eee-56893ee9fb30,0.4727710155753423,100,52,0,0,9,2,15,15,7,0.69,0.69
a676cc26-bab9-4847-968c-49c5c4d864ff,0.4818918805451431,100,60,1,1,8,1,11,14,4,0.76,0.73
1a708ad6-c514-4e1c-996e-47359b0af904,0.4892283468092785,100,59,2,1,7,3,10,16,2,0.79,0.74
a9ca7511-5b12-473d-902a-069a43f78ba1,0.5002880485038936,100,66,1,0,4,0,6,17,6,0.83,0.73
6f16eb4e-64f3-4172-8f8b-a40459bb20f0,0.5024789596645038,100,50,1,4,5,0,15,24,1,0.78,0.66
99ed0bed-ce39-4ded-8481-9f8bf254a5d0,0.5042901516456308,100,57,0,3,4,3,9,19,5,0.82,0.69
00463713-54b2-41d1-9283-7501e5c3595b,0.5064967931294112,100,53,4,2,7,0,9,16,9,0.71,0.66
ac6487e4-12a6-4117-841e-f22e1da285c6,0.5275745588849662,100,53,6,1,5,2,11,20,2,0.76,0.72
