Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
307a571b-371d-411f-af5e-99277f829bc3,0.0037160278552702,100,55,1,1,2,7,32,1,1,0.64,0.95
4754a85f-107e-489d-8694-9302197ec460,0.0063421308587682,100,52,3,2,1,5,35,1,1,0.6,0.95
45b4acdc-42dc-41fa-90e2-96d1a585fd05,0.0088775655060232,100,53,2,2,5,2,31,0,5,0.57,0.88
75af285d-62e8-44cc-8924-d5d9d41903a9,0.0130369947967178,100,65,2,3,3,5,18,0,4,0.73,0.9
0ede4a72-1ac4-4570-9eb4-d4fa362af084,0.0196994816133442,100,58,0,7,2,3,25,1,4,0.69,0.86
0d165be5-d38c-4a09-b8c2-11bd5bd1a51e,0.0491228242447022,100,71,1,3,1,3,21,0,0,0.77,0.96
ca748897-5091-4719-b370-77526c701187,0.0501421879518767,100,57,4,5,13,2,16,0,3,0.64,0.79
398559da-2581-4167-9e4a-13aeef259479,0.0549261611640674,100,66,1,1,3,6,19,3,1,0.76,0.92
0304d0c7-854a-445a-ac38-5ea8664dc250,0.0568906163654672,100,64,0,5,3,2,23,1,2,0.72,0.89
947c897e-63a7-4610-a0cd-8385f6ea73f4,0.0592287925369579,100,56,3,4,4,2,25,3,3,0.65,0.86
355b8a88-3e1b-4772-842d-c21820646e19,0.0598933416896112,100,56,1,1,3,3,33,1,2,0.61,0.93
44f084ff-387d-4f1e-b9c8-df7d9844e05f,0.0633036492865885,100,55,3,1,7,2,26,1,5,0.59,0.86
55b89f22-1e16-42a5-8765-c21a82917989,0.067787132170925,100,62,3,6,5,3,17,1,3,0.72,0.85
80a2b8bb-5eb6-40b9-9131-8f56216afe69,0.0767923573291775,100,66,0,3,2,5,21,1,2,0.75,0.92
9413e822-c22b-4c0f-b863-9a9d4fc01cb9,0.0841099713659581,100,59,2,0,4,2,27,1,5,0.62,0.9
16819684-4e41-4915-8f5f-194fff25325f,0.0889934416081403,100,58,2,4,5,1,28,1,1,0.64,0.89
ca5b2998-fc11-4c02-a713-9c041db07504,0.0917753845649258,100,59,3,3,3,5,22,1,4,0.68,0.89
b4e29f87-8d88-4a5b-9b41-486a0ab1ff04,0.1108110836274643,100,62,2,0,4,4,16,4,8,0.7,0.84
8c0f4a81-1e0e-493b-a405-c569a95565e5,0.1115808850576736,100,62,3,3,4,3,14,5,6,0.73,0.82
80d1cd7c-ae96-482b-82f5-e8d3ea68fad2,0.1326202052970784,100,62,2,4,4,6,18,1,3,0.73,0.88
9ab734c3-cfe5-4a41-9cde-e19b819df530,0.1329687832775986,100,60,1,4,3,2,25,1,4,0.67,0.88
0a7a9e08-11c9-4293-8a77-cb63df70a6b5,0.1357081824732666,100,58,1,2,8,2,21,5,3,0.67,0.82
7ace17d7-d429-402f-bf81-be09b7bb7418,0.136521984375558,100,61,0,3,3,3,21,4,5,0.71,0.85
c438efe2-d857-4cd4-b3da-c354aa6bdda8,0.1384115980008087,100,44,2,5,12,10,23,1,3,0.6,0.79
08ba0a64-61b5-4d9b-b62b-d9c23c4709b7,0.1421567708677726,100,65,1,1,6,9,13,0,5,0.75,0.88
947b464e-cbde-42b9-9bd2-06c6e709e867,0.148951296996182,100,64,2,1,9,4,16,2,2,0.71,0.86
f57e3a00-9f98-40d4-8280-5b876e565b1c,0.1715673712665071,100,67,1,3,4,3,17,0,5,0.73,0.88
bc4bb699-ee99-4422-95dc-db9f47b56901,0.1782601749702679,100,55,1,1,4,3,24,5,7,0.64,0.83
51579fc7-4912-42e9-ae6a-0137a1ef57b8,0.2108462116725188,100,65,0,4,6,1,10,6,8,0.76,0.76
83f691aa-ad59-473f-902d-357b1c0a2f84,0.2124694927093577,100,68,1,1,3,2,15,4,6,0.75,0.86
da0374fb-13f7-4464-8a40-a6bda768c141,0.2213991181089988,100,62,0,3,4,2,13,7,9,0.74,0.77
2445b7cd-ad1d-4ae9-8505-5c9d00e659ba,0.2221130652332129,100,65,0,2,2,6,13,9,3,0.82,0.84
313c620a-314c-47db-a7db-a34b12d5df2a,0.2360257174723156,100,64,1,1,5,6,13,7,3,0.78,0.84
ad92791d-aa71-4772-9914-0116b76cf8e5,0.2466666541249431,100,60,3,4,4,3,14,5,7,0.72,0.8
44ef73d6-c754-46c7-b9ef-951e8a8d557a,0.2523024683780669,100,75,4,2,1,2,11,5,0,0.84,0.92
bf322e0b-4892-4021-8457-b6d0e6ca8fdc,0.2539204411014135,100,62,4,1,7,2,9,13,2,0.78,0.77
6af16b34-7687-44ce-8bfe-c47482eac0ae,0.2556436241757074,100,71,1,2,1,3,14,6,2,0.82,0.89
e1ca068c-713b-4f98-9d48-3c3b33767d52,0.2820116813647227,100,53,2,3,8,5,11,16,2,0.77,0.71
95ee01df-dbf0-462f-b087-4037001d6945,0.2821307354983424,100,63,3,0,9,1,12,7,5,0.71,0.79
e97f44bf-c166-407e-a2f4-89f502e9e694,0.2841870765768296,100,64,1,1,2,1,17,9,5,0.75,0.83
b110eb5d-a2d5-4522-b457-fd10271cca09,0.2892553498962085,100,63,1,4,5,4,11,7,5,0.78,0.79
1d44d771-4b78-47c7-bd54-52534ad8bd05,0.2909697293628124,100,63,3,3,4,2,13,9,3,0.77,0.81
79e09747-9822-4232-a466-cf144a703812,0.3082562209666182,100,67,3,2,3,1,9,12,3,0.82,0.8
f6475bd8-9088-42aa-858b-42778827532c,0.3153072933394192,100,59,2,4,6,4,15,5,5,0.72,0.8
ce366120-ec14-4262-84bc-b33c745e0550,0.315600756633302,100,66,2,1,3,4,11,11,2,0.82,0.83
710640a3-86f1-427e-a0d5-36fb8ebaf08b,0.3257961924100178,100,64,3,3,1,2,5,13,9,0.82,0.74
c16dd217-6f4d-4c31-a071-a80ed2c50966,0.3357282896927524,100,62,1,5,3,0,11,14,4,0.81,0.74
b4235597-56d4-47a9-904c-3d7b4522f257,0.3420184482775627,100,66,3,6,4,1,9,6,5,0.79,0.79
dea0a9f7-71d1-4663-b180-37ed5e0699a5,0.3446008205922481,100,66,3,1,4,3,8,9,6,0.79,0.8
0808b541-c960-4fe4-9f57-9e103827e9c8,0.3466617991208071,100,65,4,1,4,3,4,10,9,0.79,0.76
e9ede6dd-a1a6-4427-b8df-968d6cf87862,0.3560398427932257,100,58,1,4,6,2,8,16,5,0.8,0.69
1808f7ba-f2b5-40e9-aa9a-8bd889d2f5f1,0.3562781274207006,100,58,1,2,3,3,15,14,4,0.77,0.77
7eddff89-0d37-4a8d-872b-069b88ac58e7,0.3591178028594102,100,66,3,2,3,2,7,14,3,0.84,0.78
500dc09d-57c6-4142-8836-a0397eaf61a5,0.3788324903307095,100,69,2,2,3,1,10,12,1,0.84,0.82
4347a96b-67e4-44ad-b04b-ce307c930a94,0.3862348254849121,100,58,4,6,4,2,8,13,5,0.79,0.72
f7d6fe10-2008-4b4c-90c0-c8297bbbdd57,0.3928583442141812,100,58,3,5,3,1,8,17,5,0.81,0.7
6ed3b276-37f2-41f4-80ca-bb312af3d4f1,0.4074758047986445,100,60,3,4,2,2,4,18,7,0.84,0.69
14e62e3f-1dd7-43b4-a8b8-fa411ac351a6,0.4403765420637001,100,57,1,3,3,4,5,23,4,0.87,0.67
9c0ffa9b-84bd-4780-8121-0cd4a105e4ea,0.447735098213375,100,65,3,2,4,2,6,17,1,0.86,0.76
c6003c1d-a080-46c9-9ec6-afe63d44c8f2,0.4543055407420116,100,63,0,1,1,6,7,19,3,0.89,0.76
8d2d917e-b34f-4794-959b-24581a3a871a,0.4796952499537545,100,54,2,3,1,1,15,20,4,0.78,0.72
15c4387b-8140-424a-a0ab-3be830dd578a,0.482280140180902,100,42,0,6,8,3,15,17,9,0.68,0.6
cfb40dd2-05a3-4084-871a-031bc8130eb9,0.485030245898336,100,47,6,2,1,0,20,16,8,0.65,0.73
0c25f122-6bf3-4225-ad37-275cbe4a5c89,0.4910639935463194,100,54,1,3,4,1,11,19,7,0.77,0.67
71f1e93e-b132-4ac2-a4ef-26a81fc51959,0.501389577850188,100,45,0,2,6,6,12,20,9,0.73,0.63
e244341b-c3fa-438c-82e8-e730e2d7036c,0.5039955825372129,100,55,0,4,5,1,10,16,9,0.76,0.66
ac6dfc82-84e2-46c2-8d00-8674375f41be,0.513112229616594,100,57,3,3,3,3,8,19,4,0.82,0.71
172a546c-128a-49cc-9d93-c2772c494e8b,0.5305400672991846,100,54,0,3,2,1,10,28,2,0.86,0.65
80b0124e-734a-40bd-88b2-4a925b50ce7e,0.5356457389601135,100,51,2,2,4,1,7,27,6,0.81,0.61
ac3c036b-eb88-4d92-881a-507ec46916ed,0.5380976942821475,100,51,0,4,3,1,10,27,4,0.83,0.62
83c862e6-b308-40e1-aa51-620026ce7204,0.5609379977213438,100,50,4,2,4,4,5,28,3,0.84,0.63
0775ecc7-2862-45ca-9fdc-19b91dc52724,0.5620791908710907,100,52,6,3,4,2,10,21,2,0.78,0.7
0e0ec0df-a8f8-4153-ac1a-158b379f5945,0.5693981756325294,100,52,2,6,2,0,8,26,4,0.84,0.62
e28c7526-7313-4af9-a2a0-0060f722df92,0.5694819884389724,100,48,3,5,3,3,5,26,7,0.82,0.59
6327b5d5-8bca-425a-914b-98daeadd1792,0.5741921648008025,100,52,2,1,5,1,3,31,5,0.85,0.58
998090df-0af4-4d51-9575-f02f74b127f4,0.5954848175691209,100,48,5,2,2,1,6,30,6,0.81,0.6
68841df0-29e5-4a97-8954-0b6eb8d2879a,0.5994146882053971,100,49,2,3,4,2,10,23,7,0.77,0.63
8359d819-f8db-4a4f-9619-73209c569bf7,0.6053882519505248,100,49,2,1,6,1,6,29,6,0.8,0.58
fc178191-f197-4ae6-94da-0e0614600709,0.6112784438518815,100,53,1,0,2,1,2,38,3,0.92,0.57
9d8591a8-e867-4f93-83b0-b2ee3a766656,0.6509657553748783,100,48,0,1,2,0,1,44,4,0.93,0.49
9ebf44c1-4fad-475c-8a68-b0ea765c8c28,0.654723608936037,100,48,1,2,1,1,4,41,2,0.92,0.54
2f8c2dd6-71b0-4a8b-a33d-d50aad5bc672,0.6803509167726287,100,50,1,1,0,0,1,45,2,0.96,0.52
0655c67c-3f86-410d-aecc-7631a38f31fb,0.6866813384016707,100,53,0,2,1,2,2,39,1,0.96,0.57
7c529a73-ada8-4d0a-a363-d5541ecd0ae2,0.6944657187488914,100,42,2,1,0,1,1,50,3,0.94,0.46
314c5534-5c5c-4087-9a39-005c03285e64,0.7015048325217841,100,51,6,0,0,0,3,36,4,0.87,0.6
96210097-d922-45f2-8876-76c421d13e8b,0.7055964808241966,100,52,5,1,2,2,1,33,4,0.88,0.6
1a20f013-be15-49ac-9ad7-090f51e64165,0.7189071819980707,100,47,2,1,0,1,1,44,4,0.93,0.51
2a9faa42-7bc9-48fe-b906-eee2b43ca6f9,0.720378608238145,100,54,0,1,2,1,0,41,1,0.97,0.55
2534dc2f-a48c-4376-8b0d-e20ddb5a42ea,0.7241978153373881,100,47,0,0,1,1,2,47,2,0.95,0.5
4f83875a-9a47-443a-9c25-cfb3def7ef11,0.7259025950731008,100,55,0,1,1,2,1,39,1,0.97,0.58
ce2e9360-4a14-4863-bf44-c50de5f30cbb,0.7260103483034203,100,46,5,2,2,0,1,44,0,0.92,0.52
e72d5583-40ef-4afa-9b61-c3c106d3cb4e,0.7260274885688486,100,50,1,1,2,2,1,41,2,0.94,0.54
f169ed3b-6aa3-4fdd-a7f9-cc0b3353fd49,0.7277052449225486,100,52,3,0,5,1,2,35,2,0.88,0.58
73f3e9f0-6131-4d73-8957-41d9aac5d4ef,0.728476116111326,100,45,1,1,3,1,5,42,2,0.89,0.52
d9e24a00-18a0-4d49-811b-211296659b1c,0.7325167530673322,100,48,2,0,2,1,2,44,1,0.93,0.53
6223a6da-732b-4cee-8646-7b0900d2e238,0.7352524153585184,100,48,2,2,3,1,3,39,2,0.9,0.54
c84c5299-a992-40c7-ba2b-7b8958585a2f,0.7411454395928859,100,50,1,3,4,0,1,37,4,0.9,0.52
97e6f8d7-589d-4531-b9a1-e06be9e2545d,0.7517894846840041,100,42,1,3,2,2,1,48,1,0.95,0.46
1765b907-683f-45bc-b168-226b01f55b18,0.7614201379625133,100,46,5,2,2,2,0,42,1,0.92,0.53
c6026ebf-8912-4308-887d-8f9e5806f388,0.7631323845407635,100,44,1,3,2,3,4,43,0,0.93,0.52
