Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
33cb5bc8-6e1d-4daf-ae27-5bd123bfcf92,0.044091055742336495,100,54,0,0,0,0,46,0,0,0.54,1.0
a3832dd0-e7c6-44d6-b6e4-3abdfbbe85f8,0.09668881400796163,100,59,0,0,0,0,40,1,0,0.6,0.99
a2eec1b5-038b-48e8-847e-94afc238fe9a,0.1585701235396967,100,64,0,0,1,0,34,2,0,0.66,0.98
670d6fc7-a406-47cc-98f9-3a723a0dcbf9,0.21059967014540382,100,67,0,0,1,0,28,3,0,0.7,0.95
d46bc03a-7a3f-4f3e-a4bc-e4fa49a2acbf,0.23550614524155003,100,69,0,0,1,0,26,4,0,0.73,0.95
a57c4dfc-9231-4ac2-a86f-813c6590cc98,0.25826524361115105,100,70,0,0,2,0,24,5,0,0.75,0.94
73456b69-9e6f-4b8e-9018-dbbc2a3169e0,0.3181109096417823,100,72,0,0,2,0,18,8,0,0.8,0.9
bade85a7-1650-454d-9844-6c33cf99f77a,0.5486575299077846,100,69,0,0,1,0,4,26,0,0.95,0.73
854209ae-bda3-400f-88d0-3ac9b52cd22e,0.5520672850200963,100,69,0,0,1,0,4,26,0,0.95,0.73
8692673c-8151-4763-b5a2-83b5e8854f42,0.5957354740211355,100,66,0,0,1,0,2,30,0,0.96,0.68
