Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
da770713-898c-4733-8230-5184455ae902,0.010978971843896143,100,51,0,0,0,0,49,0,0,0.51,1.0
3bc7f88a-b653-476d-a4c5-fc091eaa6c16,0.06517379545449072,100,56,0,0,0,0,43,0,0,0.56,0.99
38ea4e16-2e66-40e4-94a0-ab291ce7627e,0.07221862203990391,100,57,0,0,0,0,43,0,0,0.57,1.0
90c40334-5824-4116-934f-46c7fc4a9a1c,0.07587739585386871,100,57,0,0,0,0,42,0,0,0.57,0.99
6f94f61f-271f-4b75-a136-6086f67ff9ce,0.0960408182181135,100,59,0,0,0,0,40,1,0,0.6,0.99
a8932364-39cf-49c0-98b2-63114ed7afd5,0.10716351040661033,100,60,0,0,0,0,39,1,0,0.61,0.99
be75e37e-56ac-4b57-b017-49e3f024edae,0.11321553944643027,100,60,0,0,0,0,38,1,0,0.61,0.98
1ac16999-fb33-4c42-a558-4308e42514cf,0.1419370575731493,100,63,0,0,1,0,35,1,0,0.64,0.98
f131342f-5263-4fae-97a7-31f4971120e4,0.16037979792539703,100,64,0,0,1,0,33,2,0,0.66,0.97
a7f5266b-c9d7-43f1-88b1-25c33a2cf10d,0.20409841851716493,100,67,0,0,1,0,29,3,0,0.7,0.96
79c9e3d1-6412-4c0c-ad11-6f3e63b5c368,0.21400858823306632,100,68,0,0,1,0,28,3,0,0.71,0.96
184cfe74-ea9d-4dee-b4da-72a329b64cb2,0.3296089197499449,100,72,0,0,2,0,17,8,0,0.8,0.89
4eb1214d-ffa3-41a9-8cbd-874c5bb412a3,0.33325638782007605,100,72,0,0,2,0,17,9,0,0.81,0.89
b1bae77c-1498-43ad-92dd-f0ee902fbae5,0.33814883044555616,100,72,0,0,2,0,17,9,0,0.81,0.89
b6aec136-762c-444d-a1f8-aa0b458e7742,0.4498675465658041,100,72,0,0,2,0,9,17,0,0.89,0.81
ea8806fc-1ac3-4706-aa18-c6a3896a6618,0.4890283404239509,100,71,0,0,2,0,7,20,0,0.91,0.78
7bc57709-1ba1-450a-818a-2185cb2a233d,0.5440138198002541,100,69,0,0,2,0,4,25,0,0.94,0.73
200dda09-da62-4470-b027-7b926efb4ff4,0.5493094809537982,100,69,0,0,1,0,4,26,0,0.95,0.73
f104434f-1b4d-4ada-8bb5-34874756d36e,0.5590941772803898,100,68,0,0,1,0,4,27,0,0.95,0.72
76ddc498-39b6-465c-9dd5-45707038ace5,0.5591168169116266,100,68,0,0,1,0,4,27,0,0.95,0.72
