Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
86dce0bc-2772-4a47-8a6e-201b621abed4,0.035420718997913526,100,4,0,41,1,0,4,1,49,0.46,0.08
9e72d33c-bfe5-4c2b-b3c5-56241de65efb,0.09024590901963733,100,5,0,22,0,2,9,1,61,0.3,0.16
002a3de3-16ff-4956-bf99-fe7ffca71b14,0.09748384286303614,100,4,0,32,0,2,3,1,58,0.39,0.09
8edcb7c6-6d6f-46f9-ac63-d865568f915e,0.31081392191483165,100,11,10,16,1,7,4,2,49,0.36,0.32
eaa03052-45d2-4582-b033-54e0348eeeca,0.32232430925272887,100,4,6,13,3,4,3,0,67,0.21,0.17
7914d50c-1843-475e-8867-525ebcb87d98,0.3758152166915458,100,11,7,14,4,4,4,2,54,0.31,0.26
4fa6e4b5-7cd4-429d-b7b6-54a9abeaead7,0.47734951842002793,100,9,13,8,4,3,8,2,53,0.22,0.33
ca926974-53cf-4a6a-bc0d-4f951a5c9e3f,0.5622148825471049,100,2,26,4,3,3,1,2,59,0.11,0.32
a4c6b285-5995-4cc9-a9b5-00adb6c7cee4,0.7431199601778927,100,3,44,1,4,3,2,1,42,0.08,0.52
fb169a6b-c551-44bb-92cd-5e7fc6c55550,0.7680335859915491,100,3,44,2,2,2,2,3,42,0.1,0.51
