Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
6f327a33-6146-4f27-8e36-26720378d87b,0.0058926049401846,100,0,1,5,44,2,3,42,3,0.51,0.94
ed2c814c-3c12-4b5e-bddb-687ab0bc1cb9,0.0060302269381849,100,0,0,6,39,3,0,50,2,0.41,0.97
bbf0fe00-01fb-4328-8420-8ad0abc0f186,0.0071426982190916,100,4,0,1,46,2,0,41,6,0.52,0.94
53acba3d-7114-4113-973c-1b41a13ed517,0.0089932537998631,100,3,4,7,42,2,3,37,2,0.51,0.88
55667067-39ed-4191-aa77-a30483326551,0.0279895616221484,100,1,0,4,49,2,1,40,3,0.53,0.96
0e6cdfdf-d565-4295-b443-06cc9b579580,0.0302414880858832,100,6,1,5,50,3,1,32,2,0.54,0.89
e55f43e7-e1fa-4fb7-bfd6-abd54b66ea2e,0.0353233675126795,100,1,1,2,45,0,2,47,2,0.5,0.96
592adcc4-bb91-44b6-9cba-d640bb1d6731,0.0419689863721885,100,2,2,1,54,1,0,37,3,0.59,0.95
a6e4d349-1c42-4d30-8ad0-a58051a7c3e2,0.0626161077962913,100,6,1,1,43,4,4,41,0,0.48,0.85
c49dbe79-186a-489a-8ad2-248104b5e6bc,0.0644926962062478,100,2,3,3,52,0,3,35,2,0.6,0.92
e16e366d-b052-41c7-a906-78def7450928,0.0693120158211492,100,3,1,3,57,1,2,32,1,0.61,0.93
20c67259-c03b-43c3-842b-72c0be3d803c,0.0729556384342995,100,3,3,4,43,1,2,42,2,0.5,0.91
5d599ef6-bfda-4fb7-af80-029ab4decd65,0.0730221718388909,100,3,2,5,51,2,3,34,0,0.56,0.9
ef57ef7e-64bd-48ab-bbf0-edc8e055ca10,0.0759002187775874,100,4,1,2,55,3,2,33,0,0.58,0.9
02fb8d7f-491f-4044-abbe-be814254fce5,0.0852860490619735,100,7,2,3,49,3,3,30,3,0.57,0.85
