Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
9669d52d-29fa-452e-974e-d1456e65adbd,0.017458257130996,100,4,36,2,8,41,3,3,3,0.5,0.84
f8262246-cc71-43d3-81f1-bad55162de15,0.0291080107599111,100,2,48,3,2,38,2,3,2,0.46,0.9
ddce9fe8-80ce-4301-9e07-c19c351d9c96,0.0370350066833281,100,4,40,2,0,46,3,3,2,0.55,0.93
ef56b8ba-fdf9-4a74-8f0d-a64892a761a7,0.0435907920203071,100,3,43,6,2,39,0,3,4,0.51,0.85
5d62feef-f608-4119-80d8-5ddd537d5a73,0.0501242817367692,100,4,36,5,5,42,5,2,1,0.53,0.87
b2f49629-84f5-4a73-b63b-93144773acb8,0.0511559752806232,100,3,38,2,3,48,3,2,1,0.55,0.92
2e245c71-c764-47d4-b821-3f3aebf52397,0.0583177054158887,100,1,29,6,2,57,2,0,3,0.64,0.89
74e5d6b4-179b-42eb-bf3b-6e7b83eab670,0.0614968452705906,100,6,32,5,0,42,7,4,4,0.57,0.87
26f6e554-915d-484c-be50-e43b71b20631,0.0653795169661361,100,4,49,3,3,36,1,0,4,0.43,0.9
6f0b73c0-b55f-4ddf-a33f-9eba71eccd60,0.0658593082959519,100,2,37,1,4,48,4,2,2,0.53,0.91
ecbfa8ca-d080-491a-b070-56cc971808a8,0.0769548293369578,100,4,37,3,3,43,4,4,2,0.54,0.88
fac5af9b-aa3c-4661-990f-6d5c64a4b577,0.0855016097802168,100,3,44,1,4,38,3,4,3,0.46,0.88
eb1c2038-a521-49d6-8612-007e84165aac,0.0906036979197435,100,5,35,3,2,44,3,3,5,0.55,0.87
6d023f9c-b978-4493-a228-8211db4d35d6,0.1122293882511057,100,3,34,3,2,49,5,3,1,0.58,0.91
6bd089ca-9bc9-46b3-aa49-7b936b8880ea,0.1128108575547874,100,2,30,4,4,50,2,3,5,0.59,0.84
3ef38619-22e3-4775-acf0-26fd54b72a32,0.1407055191055375,100,5,34,3,2,49,1,4,2,0.61,0.89
adde9373-b088-48ee-87b8-cb501959fb01,0.1443733501623034,100,3,28,4,2,55,2,3,3,0.65,0.88
57d036af-b6ac-4a41-a513-0d28701237cb,0.1532126300460449,100,2,37,2,7,44,4,2,2,0.5,0.87
0eddcc8f-d435-4ee3-a8d2-9654b5e63225,0.1617925723914627,100,3,32,4,2,53,1,3,2,0.63,0.89
6b328da2-6f70-4a53-87f3-1c98887bdc9a,0.1753200864231503,100,0,24,3,2,63,4,2,2,0.68,0.91
5d1d2600-a4c4-4466-b26a-fb41661c8db9,0.1912924662921787,100,5,22,1,2,62,4,2,2,0.7,0.93
4e64fe7a-fd61-429b-a289-aebe9f2c3fa8,0.1924143403644778,100,3,22,4,4,51,4,7,5,0.65,0.8
608eba13-7fc7-4cca-b43b-f3d21f1abbae,0.1981867797076244,100,4,31,10,3,45,2,2,3,0.61,0.82
dda5f589-0565-4390-926d-5c6fd21602ba,0.2143414170053096,100,3,26,2,3,57,2,5,2,0.67,0.88
44698193-b0e0-4dd6-8986-a14041f48e72,0.2147855114421386,100,3,18,2,7,62,3,1,4,0.68,0.86
018b80d9-8636-46ce-9b51-0443fc33339d,0.2200292076477747,100,1,21,4,3,61,6,3,1,0.69,0.89
0bc590e6-4711-4000-a447-324dd346bb6e,0.2201021013727979,100,0,25,7,3,57,4,2,2,0.66,0.86
e433a656-6bc2-44f8-a7d6-1263a2c186ba,0.2209472761590015,100,1,24,2,4,61,5,3,0,0.67,0.91
463c528a-b359-4c4b-9465-d5a2cd89bb24,0.2283218784218433,100,5,23,4,3,56,2,2,5,0.67,0.86
c4eb8728-3dd4-4533-b71c-650ba08fbd1c,0.2311534239916582,100,4,18,6,4,63,1,1,3,0.74,0.86
8245f239-aedc-4a30-9596-ad26007fa7cd,0.2377980756010277,100,4,18,9,1,57,4,1,6,0.71,0.83
cad6bb3d-e5ef-4294-b898-67f26f5638ca,0.2425078269446187,100,4,22,6,7,53,2,1,5,0.64,0.81
063769d9-b134-48fa-a2ba-99b6c4ef3700,0.2467875624315059,100,4,19,8,1,59,2,1,6,0.72,0.84
6982d639-c870-4f39-868b-d803f58f2e51,0.2489867565463188,100,1,17,7,5,56,5,4,5,0.68,0.79
ab4cf602-074c-4474-a61a-f38154a3a29e,0.2492052088728994,100,4,11,6,0,67,6,3,3,0.8,0.88
2e9ab3a4-2df7-4a28-ad4e-4452a674cf66,0.2503459663829042,100,2,20,10,3,51,4,4,6,0.67,0.77
ac202fff-b457-472e-bb5e-1f7ede483f05,0.2563403149014578,100,4,24,4,4,55,4,1,4,0.64,0.87
b874f3e9-d86b-4baf-b15d-8cb23ea1de90,0.2642308581634335,100,2,26,4,4,54,3,1,6,0.61,0.85
ed2f5e73-5e1b-4089-9604-b094e6090d9a,0.276741060557866,100,0,26,11,2,56,2,0,3,0.67,0.84
3a5f6ed5-8e75-427b-8e8b-0f3f9e5d9e2b,0.2793902220708975,100,2,17,9,3,61,3,2,3,0.74,0.83
b45ad832-791c-4229-baa0-bb74b912ba33,0.297628367366676,100,1,17,8,3,62,2,2,5,0.73,0.82
05f71606-1bbd-4676-ba89-55a896ec1ca7,0.2990773222809302,100,2,19,10,7,54,3,1,4,0.67,0.78
431da754-cf4a-4a9a-b698-4d2f5a94e555,0.3003975602075967,100,9,13,10,4,57,3,1,3,0.77,0.82
9dae30f9-208b-491d-a406-2b85e68eca45,0.3023330532829315,100,4,16,12,1,61,3,1,2,0.78,0.84
f042e689-cfcd-43e5-856f-fcf3ecc82e7e,0.3072162999939372,100,1,21,10,4,57,2,0,5,0.68,0.81
35e49edb-163b-4ada-b846-cb7be8829da8,0.3086431511455987,100,7,31,3,1,53,1,3,1,0.66,0.92
e2666401-540a-441d-a0ed-90e61bec4ca2,0.3098194468130821,100,7,19,4,2,58,4,3,3,0.72,0.88
8078dbca-78ef-4a42-8e7c-81970592837b,0.3152985329531493,100,4,29,4,5,51,3,3,1,0.62,0.87
8eab5f2d-cfab-4ae7-8912-986a77bc4b43,0.3331055101983232,100,4,24,3,4,60,0,4,1,0.71,0.88
09f3ca56-539b-40bd-9c2b-287440d93409,0.3336554572878436,100,3,30,6,2,54,2,1,2,0.64,0.89
a6456007-3d7a-4787-b9d0-82942195e8c4,0.3374888473455766,100,3,28,2,2,55,3,3,4,0.63,0.89
6a6d59f6-57af-4239-858f-8be1f0531c74,0.3383472374336265,100,1,27,3,4,54,8,1,2,0.59,0.9
d7b2d81b-64a3-4566-b86d-28bf3a62197a,0.3612373454350422,100,6,25,2,6,53,3,3,2,0.64,0.87
a00c37f1-8c25-4c65-80e8-5d315003e81c,0.3680613281500507,100,6,22,6,0,54,3,4,5,0.7,0.85
174753bf-bb85-43ae-9b69-5526fba86d50,0.3754871692925937,100,3,22,7,3,59,1,3,2,0.72,0.85
9705d31d-06d2-4c17-a9db-96bbf78c74b9,0.3856505009500531,100,4,24,5,1,55,3,5,3,0.69,0.86
add67471-ac10-4cb4-b864-c2fcb1de365a,0.387395080066974,100,6,25,2,3,58,2,2,2,0.68,0.91
c7085d21-6a24-4209-b7cf-ff0a4c1c4e0a,0.3889647368655854,100,5,23,8,2,57,2,2,1,0.72,0.87
3f769d44-07c0-4b5d-8d7e-73feb3c9c851,0.3987974699691155,100,3,27,6,4,54,3,1,2,0.64,0.87
7ed363ba-e4ae-4fb4-b1f7-7f7bf771d424,0.4003471034842301,100,6,22,5,2,51,5,4,5,0.66,0.84
143e2854-533a-4d78-9cea-01608f56cc0e,0.4280008685147802,100,6,18,8,2,57,1,3,5,0.74,0.82
4010329c-24be-4651-9ffc-48ab7521a514,0.4299795127443198,100,6,14,10,2,60,3,5,0,0.81,0.83
11d7d334-1a9b-4007-b19a-5b2c89d78f15,0.4381131784502202,100,3,24,6,4,52,6,3,2,0.64,0.85
5fc16f13-7009-420f-94c4-3717da8aac11,0.4623766947220875,100,3,13,13,0,63,5,3,0,0.82,0.84
