Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
2ea1b8f3-5b3c-4f36-bcae-e3648b4a6a7b,0.002467140480134608,100,1,1,52,0,2,3,1,40,0.44,0.93
6af7b3b1-8188-4ea4-9ed8-a8177857fab4,0.024726571944787546,100,1,1,41,1,3,4,1,48,0.54,0.91
f4e07c38-24d9-48ae-b74f-16d779b87332,0.03966674761931291,100,3,0,46,0,4,2,1,44,0.46,0.91
3e604206-1e22-498f-8ff8-aba8f558365d,0.05692226852176516,100,2,1,50,1,7,2,2,35,0.39,0.88
dd874eed-5c86-43bb-8594-18d4fda905a9,0.061972193304089554,100,3,0,39,1,5,3,1,48,0.52,0.89
cb6cea42-d97f-4af5-b6f3-2a8190255f14,0.08356233491996651,100,6,1,38,1,11,2,3,38,0.42,0.8
c3cdf4ae-7d38-4476-abf4-d4e9ed692ca5,0.09977228223609924,100,5,1,35,3,7,1,2,46,0.51,0.86
e8023f5e-af93-437b-9417-1e31559a4ec1,0.11328454631888471,100,3,0,41,2,3,3,1,47,0.52,0.91
5b1ebdb0-7682-4350-b7d2-f906f8058248,0.12200035768255196,100,1,0,43,1,4,4,1,46,0.51,0.91
5957c4cf-c56b-409a-a1d0-fbb2d8962420,0.1257272196358486,100,2,1,42,2,4,2,1,46,0.51,0.91
47d64f42-e3b2-40ee-a559-67c38d603498,0.13450201203063286,100,4,4,36,0,4,2,4,46,0.52,0.86
545d126a-4840-4d8f-9728-98864f87148a,0.13618233218547843,100,2,0,41,2,9,0,1,45,0.47,0.89
52ad95da-c4e4-45a5-8294-5ff4fa410b25,0.14359876421069914,100,4,1,29,1,3,2,1,59,0.63,0.9
609688f7-afcf-4ffc-b87e-8977144257dc,0.1446719954006562,100,0,1,34,2,7,4,1,51,0.58,0.88
238556ed-d6e1-4b59-bc32-f1ee4f39ce8a,0.1464525797468369,100,3,2,29,3,7,6,2,48,0.59,0.82
c8893876-6891-4df5-9556-6986ebe85dcc,0.14915263258293146,100,1,1,41,1,7,0,3,46,0.48,0.91
7746f147-d2f2-408d-bcab-34ad2680c7bb,0.16100848684567975,100,3,1,33,0,5,1,2,55,0.57,0.9
d68387e1-36ce-4453-ad90-a7784b36fc61,0.16785931857847014,100,2,7,31,2,9,2,2,45,0.56,0.8
1e19044f-1969-4d1a-8977-d688a94cb8f7,0.1697733212142184,100,3,1,33,1,11,0,2,49,0.51,0.85
65f2b426-cdcc-410a-bdf5-881420effd4e,0.1702340908938499,100,6,2,38,1,3,6,1,43,0.52,0.83
e7f582a2-2137-49bf-943f-c56cf66a4249,0.17166109568519228,100,3,5,35,0,5,5,1,46,0.56,0.82
d4ded970-a507-4340-80a1-980a690f95ce,0.19541180751842746,100,5,3,25,1,7,0,1,58,0.62,0.85
dfeeabdf-9323-493d-ab14-55de71d8e0bf,0.19602187552213887,100,1,1,33,0,8,5,1,51,0.57,0.85
23a7f722-9d54-458a-b1c7-498f558f72ea,0.1965046105878951,100,6,4,30,2,2,1,1,54,0.61,0.87
5377ab03-a3cd-40d6-b9ed-e3ff25e6e41f,0.19675942389879345,100,2,2,30,1,14,1,1,49,0.53,0.81
6e629fd8-8339-406d-a2d6-38ec833eea22,0.19947115260783047,100,4,1,33,0,8,2,1,51,0.54,0.85
f4f16ff4-2a4a-4d4c-b04e-f33cac175bf9,0.20060852934687798,100,1,2,30,2,6,2,0,57,0.63,0.89
