Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
d48123c7-3083-41be-a904-6228b9390b0b,0.0018744950312862,100,5,48,3,0,37,2,2,3,0.47,0.92
d3a948c6-aca3-4b3e-8a1d-3eafd0ac69b5,0.0025014820916893,100,0,54,2,4,37,2,1,0,0.4,0.93
17858f9a-58dd-4b9c-b46c-63df6e6813b5,0.0035419468035817,100,1,56,2,2,33,0,1,5,0.37,0.9
bea800dc-146c-4fc6-b868-258afda40d70,0.0106699800079431,100,6,56,2,0,32,1,2,1,0.42,0.95
7c3acd1c-2792-4acd-b0a6-6fb9cada4d02,0.011904165915099,100,3,53,1,6,29,4,0,4,0.33,0.89
1cf44952-8ff2-4060-a605-8fcdc060f161,0.0120233005844808,100,4,54,2,2,34,1,2,1,0.42,0.93
01ac0440-2f14-4834-b8b6-6fb9dc7983b2,0.0219594480917747,100,3,45,0,2,41,3,3,3,0.47,0.92
614d9e15-7093-48fa-bb6a-a4f8780f8c82,0.0234620404700965,100,1,59,1,3,30,1,4,1,0.36,0.91
7e0773d6-7abf-488c-8d42-16dcbf6e6a39,0.025894593684037,100,3,44,0,3,43,5,0,2,0.46,0.95
9680f928-38d3-427f-85f0-590b0ddd6fa7,0.0581679235625569,100,4,52,1,2,36,1,0,4,0.41,0.93
bc0a7a77-2c79-401d-ab57-1481369edbd2,0.0655781869238671,100,3,45,3,4,43,0,2,0,0.51,0.91
3807545a-fbea-4bcc-beab-d60f01bc50c4,0.07490006335544,100,3,47,0,5,40,2,3,0,0.46,0.92
b27766d7-364b-4b1e-b328-3ae5a8e612d0,0.0753670699815608,100,3,42,1,2,48,0,1,3,0.53,0.93
0a1999b4-49a4-4e4c-89f2-d62a7334aeda,0.110197258974696,100,2,34,3,2,55,1,1,2,0.61,0.92
d1c88aa0-c005-4970-a0a9-3ab167f87de7,0.1116607757153457,100,3,45,0,2,38,1,2,9,0.43,0.87
7c94e03d-d91f-4627-afa7-0ee04bd53dec,0.1324086765326254,100,5,26,0,2,56,7,1,3,0.62,0.94
a653954a-5173-4c66-83e9-f15e78dcf2e2,0.1330193143387815,100,1,44,1,5,43,2,2,2,0.47,0.9
66ac2b24-58bc-485d-b63a-79a495e8b7d0,0.1540089131007654,100,4,32,1,0,57,1,1,4,0.63,0.94
8953fbd9-cd0e-41bc-a840-355dd2a93114,0.1568640171654415,100,3,37,3,2,53,1,1,0,0.6,0.94
0b270efa-9890-40d9-98e2-97154e98861c,0.1649366096745249,100,0,42,1,0,49,2,3,3,0.53,0.93
7e2f2419-3c57-45f0-9193-e6da18ad9f5d,0.1675865037394853,100,2,41,2,4,46,2,0,3,0.5,0.91
034861bc-b91c-4e1a-b6fa-5010be7a18ff,0.1769148485908444,100,2,32,1,2,56,2,2,3,0.61,0.92
3bb92269-be20-4e87-8b03-c3bd613e5961,0.1909085166317738,100,4,31,5,3,49,2,3,3,0.61,0.86
790a625f-7696-4bb7-9f3a-14d1e49af20e,0.1942701733414047,100,3,26,5,6,54,1,1,4,0.63,0.84
f7f2569f-df20-4acd-9abd-9183bada24be,0.2081389751758566,100,2,25,4,2,63,1,1,2,0.7,0.91
47f0d310-9822-4afe-8867-4dceacd2c47f,0.2134554264929849,100,3,28,1,2,63,0,0,3,0.67,0.94
37c04625-7044-4779-a0dd-eb1301f95621,0.2218569202226585,100,6,31,0,3,52,0,2,6,0.6,0.89
4c8b5f9a-8cf8-4740-8ba7-e572c0c7a8af,0.2254785936711459,100,1,26,4,2,61,3,0,3,0.66,0.91
5f3380c4-4e3e-4cfc-b09d-0f4d9eb4f4b7,0.2283496734375819,100,7,35,3,2,48,1,1,3,0.59,0.91
c69eec42-d1aa-44bb-b04e-93a83e6b2415,0.2347641149864957,100,7,36,2,1,48,3,2,1,0.59,0.94
48116bd7-9a66-4947-a667-603717c27afb,0.2392294892744286,100,3,44,2,2,47,1,0,1,0.52,0.95
1d86b63d-48b0-4a5f-974b-59386855d7fe,0.2498937882967767,100,3,14,3,1,71,1,5,2,0.82,0.89
f3cf3dc7-829f-4b54-a827-8161e8d95378,0.249960948903381,100,6,20,5,1,59,0,4,5,0.74,0.85
72dab9cf-6d63-40b2-8264-ad66f8073a06,0.2607853469424303,100,4,20,4,3,58,2,5,4,0.71,0.84
2650d6ca-9415-400c-b346-81356c0ba121,0.2635145048138852,100,4,21,2,1,68,1,2,1,0.76,0.94
5566dc7a-0d13-4e80-a694-f73f64db2fe8,0.2727603473280701,100,2,16,5,3,65,2,2,5,0.74,0.85
49a35b3b-2519-4b98-b979-a734cbf5db4a,0.2743406352653333,100,4,22,2,0,59,6,4,3,0.69,0.91
56a26bb5-0640-4e37-9096-bb098ccbb872,0.2782819707948536,100,5,18,7,0,61,3,2,4,0.75,0.87
793444ba-f070-41d3-b60e-d7da46bfbff4,0.2809134190576653,100,2,19,2,2,67,2,1,5,0.72,0.9
a41d98f9-fc33-4143-82c0-7422e31de5a6,0.2900365478675356,100,4,20,4,3,58,2,3,6,0.69,0.84
70186613-e76c-4806-acb3-2879b0efd12f,0.2967429017675684,100,3,19,3,2,66,1,1,5,0.73,0.89
cd1326b1-c708-45ee-8141-3fdb0a801b1f,0.3029958952599625,100,2,13,7,1,69,1,2,5,0.8,0.85
22bedcae-6117-4b6e-8035-b6fcb513132e,0.3043651952872114,100,2,20,5,2,68,0,0,3,0.75,0.9
