Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
ed1ac286-87db-4218-901e-f0aabcda3743,0.1077947954440906,100,3,2,31,2,5,3,0,54,0.61,0.87
d3a73c7b-8c33-45d8-bfd1-24c51be1447c,0.16218466265111225,100,1,2,43,1,5,0,1,47,0.5,0.92
b61f4714-9f12-4ecc-9926-2101f0f293b4,0.17125744407747964,100,1,4,37,2,7,5,1,43,0.54,0.83
55d037bb-66c1-4cdb-a138-bd2f120839d3,0.17823664405564407,100,1,3,41,1,2,3,1,48,0.55,0.91
d5c60b16-0b92-4eea-8679-3f9c74cc7601,0.3393357984668035,100,5,8,14,0,6,2,2,63,0.73,0.79
0aa29d76-5c96-476a-8153-88a8432e3a5e,0.3907083182594331,100,1,15,17,2,8,1,2,54,0.72,0.75
2e383332-cfce-4ff4-b1aa-2444f2a17951,0.5388733017243149,100,0,37,8,0,4,1,1,49,0.87,0.58
40fabec2-755d-4301-a4c2-100c4f5dba20,0.6361758781282338,100,3,47,1,0,3,1,5,40,0.88,0.46
fc4f59a4-1c0f-4146-9532-78bfd1e8245b,0.6487955829423924,100,1,44,6,2,2,2,2,41,0.89,0.51
6424b128-d59e-4dd5-826d-c40688020794,0.6687800344301406,100,0,42,3,2,1,0,1,51,0.95,0.57
