Job Number,Angle,Bit Value,Basis,Total Shots
40636222-d67f-4c9a-ac78-5037de5de24a,0.010586149154736964,1,X,100
3d9b2993-1952-49fa-9fae-ac41efa79508,0.034285755129139034,1,X,100
aafd7969-7ef7-4b5b-aa2a-8ade06c0b06c,0.03917199619329986,1,X,100
a9b18b60-09a4-48ca-b851-9e249b8e5029,0.05745701824147903,1,X,100
d3dd91e6-1d86-4cd7-b8bf-ce3c9c1278d4,0.058105804756888646,1,X,100
51c770ef-9263-4c09-981e-4869ae7d3c75,0.06401601319921789,1,X,100
9f826523-7d56-464c-93b0-875be8cc8b2b,0.06983498081909668,1,X,100
48925ef0-9064-48a1-8854-e13917cd59c2,0.0823393560039221,1,X,100
3ef67109-b98a-4511-899e-a3868d4b65fb,0.10366107303899294,1,X,100
74455d7e-a467-4c5a-b68e-6cbd0a3df8d3,0.10872531763491279,1,X,100
6faa02ec-9d99-4fc1-bfd8-68d9345f3247,0.11676714242674856,1,X,100
96bbf280-59a6-460f-a314-089c69cc07fe,0.12562205490436562,1,X,100
0e380847-4f54-4d31-a267-70de5cc1c8f2,0.13998218327576603,1,X,100
95f9a252-a6db-419e-87b0-c7c387f29f31,0.1437479503406784,1,X,100
54f4ff7a-c5a5-4727-9333-40ab675642f1,0.1470042277806659,1,X,100
c67c026b-a4e7-49f3-9904-0b89de334ace,0.14703165993183054,1,X,100
5cf4422e-4da1-46f2-b3f7-c839c2908063,0.16222148124177382,1,X,100
f5ebd8a9-0711-4a5e-bb3d-f07e8b6161e5,0.16262243599376894,1,X,100
8bb94346-adce-4fb0-b57a-fc40bd7bdae9,0.16616999147296954,1,X,100
2806a7b1-9de0-4418-a0b0-a395af923035,0.16627538660152072,1,X,100
af2b5937-e9d4-4a4b-b47b-dc2365224df5,0.17364348935307924,1,X,100
3ce8d0a0-5723-4ced-ab55-e2af363650a3,0.17573652150117178,1,X,100
4dcc5e97-3f2a-43db-b76b-ced299b64e4d,0.2030347937000129,1,X,100
12e1cdb3-98e9-4a3d-9e54-53e4d90c2b63,0.2127420946217824,1,X,100
64959194-45e6-4166-bc75-9e68ede05806,0.21486580984737647,1,X,100
8ca4c355-df0d-4a98-a30d-8c668ac28a05,0.21522862257456146,1,X,100
