Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
719d0a4c-a2c3-48c4-a65c-0bf81523baec,0.0025086827017239354,100,50,0,0,0,0,50,0,0,0.5,1.0
4b63f0cc-8f9d-4df3-a7b9-9841817464f5,0.02988780681441227,100,53,0,0,0,0,47,0,0,0.53,1.0
18df9b75-2ade-4493-8b7a-7bc054b14365,0.04087557745421404,100,54,0,0,0,0,46,0,0,0.54,1.0
ce97501e-3830-4443-b96a-c8bba7431c14,0.04359161598419652,100,54,0,0,0,0,46,0,0,0.54,1.0
6db71dc0-36f0-4691-b7ed-89f0eab7f9ec,0.05170389068467869,100,55,0,0,0,0,45,0,0,0.55,1.0
edd0d4d2-f16f-4e79-ba0d-790c749e30b8,0.06677203521254203,100,56,0,0,0,0,43,0,0,0.56,0.99
bd08644d-4124-408c-835c-1533b29cc864,0.08995731253084858,100,58,0,0,0,0,41,0,0,0.58,0.99
7f2ea544-df9a-4c1b-88b1-bcafa2f29be5,0.1008124602927869,100,59,0,0,0,0,40,1,0,0.6,0.99
d6f4518d-0486-4be8-b9c4-78680314e5a8,0.10540129271888089,100,60,0,0,0,0,39,1,0,0.61,0.99
10d74cb0-fa6d-4e9b-995f-9e018dd34c0b,0.11177437679363242,100,60,0,0,0,0,38,1,0,0.61,0.98
ac830d5e-f164-4a61-904d-c9cb98957463,0.11907242523540207,100,61,0,0,1,0,38,1,0,0.62,0.99
4680e4d1-a8ef-4342-ba56-3b04c3a071c9,0.12159610708179638,100,61,0,0,1,0,37,1,0,0.62,0.98
a6f70b63-479c-4027-bae9-099ac95b512d,0.1305977536729061,100,62,0,0,1,0,36,1,0,0.63,0.98
1447319b-6fc9-4a17-b57a-dd3be3d498f0,0.134800394607153,100,62,0,0,1,0,36,1,0,0.63,0.98
85fe3cb7-8301-459e-baed-3bc41cbe8231,0.13806800808527844,100,62,0,0,1,0,36,1,0,0.63,0.98
